"WorkoutType","WorkoutDescription","ExerciseDescription","Code","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes"
"Swim","Wear Wetsuit","Custom","Custom","1.5","","4/1/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","4/1/2016","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Endurance","Custom","Custom","1.25","","4/2/2016","","","","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","I was wrecked from yesterday's run. Had nothing and was dropped.","Custom","Custom","2","","4/3/2016","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","4/3/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","4/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","4/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Either 1 or 2 hour group","Custom","Custom","2","","4/5/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","3 1/2 mile hill repeats held 2:45-2:50 active jog down left on 5 min 4 1/4 mile repeats held 1:20 easy jog down left on 3 min Then did 5 sets of high knees as quick as possible 10sec 50sec recovery to promote turnover.","Custom","Custom","1","","4/5/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","4/5/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","2-3 hour aerobic","Custom","Custom","2","","4/6/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","4/6/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Either 1 or 2 hour group","Custom","Custom","2","","4/7/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Just put on your run shoes right after riding and run a short 10min. Purpose is to continue to get your legs used to running after bike.","Custom","Custom","0.166666666666667","","4/7/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","4/7/2016","","3931.92","","","","","1","1.0922","","","","","","","","0.40719696969697","6.75","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","4/8/2016","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Easy off bike to see how I feel","Custom","Custom","0.4","","4/8/2016","","4828.032","","","","","0.4","3.3528","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Endurance","Custom","Custom","2.5","","4/9/2016","","72420.48","","","","","2.5","8.04672","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","1.41666666666667","","4/10/2016","","16093.44","","","","","1.41666666666667","3.15557647058824","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","4/10/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","4/10/2016","","24315","106","412","368.084"," *04/11/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.966532524956597","7.13899993896484","","72","","","","","","0.623309413959726","37.15","","","","","","","","","","","28","21","7","1","1","1","","","",""
"Bike","Easy stroll to see how leg feels.","Custom","Custom","1","","4/10/2016","","28968.192","","","","","1","8.04672","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","4/11/2016","","","","",""," *04/11/2016 Jamie Brown: Did alter G treadmill 10mi. Easy then 3x8min sub 6 pace 2 min walk in between*","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1.5","","4/11/2016","","3383.28","","",""," *04/11/2016 Jamie Brown: Main set was 100x 16 pacing came in at 1:14 left in 1:20.  No wetsuit*","1","0.9398","","","","","","","","0.350378787878788","4.3","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","4/11/2016","","25627","73","474","304.702"," *04/11/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","1.15604220920139","6.13899993896484","","55","","","","","","0.57131739137719","37.54","","","","","","","","","","","47","14","5","2","0","1","","","",""
"Bike","Either 1 or 2 hour group","Custom","Custom","2","","4/12/2016","","41842.944","","",""," *04/12/2016 Jamie Brown: Basically 2 9. mile sprints. I was on the front most almost both rides*","1.31666666666667","8.8276253164557","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","3 1/2 mile hill repeats held 2:45-2:50 active jog down left on 5 min 4 1/4 mile repeats held 1:20 easy jog down left on 3 min Then did 5 sets of high knees as quick as possible 10sec 50sec recovery to promote turnover.","Custom","Custom","1","","4/12/2016","","12070.08","","",""," *04/12/2016 Jamie Brown: Basically ran 30 min tempo pace was 6-6:40. 10 min warm up and 10 min cool*","0.833333333333333","4.02336","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","4/12/2016","","3200.4","","","","","1","0.889","","","","","","","","0.331439393939394","3.64","","","","","","","","","","","","","","","","","","","",""
"Bike","2-3 hour aerobic","Custom","Custom","2","","4/13/2016","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","2 runs 1st in am after swim did my drills with jogging in middle and some pick ups 2.25 miles 2nd was off bike ran hard for 2-3min than mild pace for couple min than hard than medium. 2.6 miles Did 8 sprints at end. Then did open water swim!","Custom","Custom","0.75","","4/13/2016","","8046.72","","",""," *04/15/2016 Jamie Brown: Big day.*","0.75","2.98026666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","4/13/2016","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Either 1 or 2 hour group","Custom","Custom","2","","4/14/2016","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","1","","4/14/2016","","12874.752","","",""," *04/15/2016 Jamie Brown: Did 6x (3min hard 5:15-5 min pace with 2 min walk)*","1","3.57632","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","4/14/2016","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","4/15/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","I did 6 each leg of 1 legged bridge climbs. Left leg pushing 230-270 watts Right leg pushing 150-200","Custom","Custom","","","4/15/2016","","23447","90","517","329.905"," *04/15/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","1.01955579969618","6.38899993896484","","53","","","","","","0.635648856539629","40.95","","","","","","","","","","","35","13","8","3","2","1","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","4/15/2016","","","","",""," *04/15/2016 Jamie Brown: 8:50 750yd*","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","1-2 hours with pickups","Custom","Custom","2","","4/16/2016","1-2 hours with picksups","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","EASY effort starting out, but get into rhythm and move towards a more MODERATE effort.","Custom","Custom","1.25","","4/17/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","4/17/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","4/17/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-10min EASY w/u 95±5 rpm -2 x (90sec at FTPw, 3min EASY) -8 x (30sec MAX >XXXw, 3min EASY) -Easy c/d to :55","Custom","Custom","0.916666666666667","","4/18/2016","On spin bike?","","","","","","0.916666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","-400 EASY w/u -3 x 200 w/fins (100 kick on back, 50 catchup, 50 swim) 7 x (5 x 50 come in under :35 and leave on :50) with 1min rest between sets of 5. -100 EASY -400 STEADY swim hold 1:15 -200 EASY w/d","Custom","Custom","1.08333","3154.67993164063","4/18/2016","","3154.67993164063","","","","","1.08333","0.808894796599374","","","","","","","","0.301574347959644","2.97","","","","","","","","","","","","","","","","","","","",""
"Run","Hop off bike and go run HARD: -10 x (30sec HARD, 30sec EASY) -5min MOD -5min EASY","Custom","Custom","0.333333333333333","","4/18/2016","","","","","","","0.333333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","4/19/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","4/20/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-10min EASY w/u 95±5 rpm -2 x (90sec at FTPw, 3min EASY) -8 x (30sec >XXXw, 3min EASY) -Easy c/d to :55","Custom","Custom","0.916666666666667","","4/21/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Hop off bike and go run HARD: -10 x (30sec HARD, 30sec EASY) -5min MOD -5min EASY","Custom","Custom","0.333333333333333","","4/21/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","1 x 400 easy warm-up mix 6 x 50 drill/swim Drill=1 arm on :20 RI 9 x 50 swim on :40 (1st 3 buld, 2nd 3 reverse build, 3rd 3 FAST) 100 EASY 6 x 75 (25 EASY, 25 FAST, 25 EASY) on 1:00 100 EASY 3 x 100 descending on 1:20 1 x 200 easy recovery","Custom","Custom","0.75","2103.1201171875","4/22/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Day Off","","Custom","Custom","","","4/22/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Good EASY swim with some pick-ups","Custom","Custom","0.33333","","4/23/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","EASY with 4 x 30 sec pickups","Custom","Custom","0.5","","4/23/2016","","16522","65","306","174.449"," *04/28/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","1.09767306857639","4.22200012207031","","39","","","","","","0.548531304619275","22.12","","","","","","","","","","","55","5","2","2","1","1","","","",""
"Run","EASY and end with 4 Stride Outs","Custom","Custom","0.33333","","4/23/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","4/25/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","4/25/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","4/25/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","1 x 400 easy warm-up mix 6 x 50 drill/swim Drill=1 arm on :20 RI 9 x 50 swim on :50 (1st 3 buld, 2nd 3 reverse build, 3rd 3 FAST) 100 EASY 6 x 75 (25 EASY, 25 FAST, 25 EASY) on 1:00 100 EASY 3 x 100 descending on 1:30 1 x 200 easy recovery","Custom","Custom","0.75","2103.1201171875","4/26/2016","Nice and easy back into pool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Just get out and ride or stay indoors on Trainer. EASY pace to promote recovery!","Custom","Custom","1","","4/26/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","2-3 hour aerobic","Custom","Custom","2","","4/27/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","4/27/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Either 1 or 2 hour group","Custom","Custom","2","","4/28/2016","","","","",""," *04/29/2016 Jamie Brown: Just road*","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Just put on your run shoes right after riding and run a short 10min. Purpose is to continue to get your legs used to running after bike.","Custom","Custom","0.166666666666667","","4/28/2016","","","","",""," *04/29/2016 Jamie Brown: Ran off bike  1 mile 6:05 1min jog 1 mile 6:05  6x 20 sec pickup sprints.  It's damn humid again*","0.266666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","4/28/2016","","4114.8","","",""," *04/28/2016 Jamie Brown: Felt like a boat with a hole in it! : )*","1.25","0.9144","","","","","","","","0.340909090909091","4.95","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","4/29/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Easy off bike to see how I feel","Custom","Custom","0.4","","4/29/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Endurance","Custom","Custom","1","","4/30/2016","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","1.25","","5/1/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/1/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Easy stroll to see how leg feels.","Custom","Custom","2","","5/1/2016","","64373.76","","","","","2","8.9408","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","5/2/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Main set 20x100 left on 1:20under 1:15","Custom","Custom","1.5","","5/2/2016","","4389.12","","","","","1.25","0.97536","","","","","","","","0.363636363636364","6.01","","","","","","","","","","","","","","","","","","","",""
"Bike","Either 1 or 2 hour group","Custom","Custom","2","","5/3/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","3 1/2 mile hill repeats held 2:45-2:50 active jog down left on 5 min 4 1/4 mile repeats held 1:20 easy jog down left on 3 min Then did 5 sets of high knees as quick as possible 10sec 50sec recovery to promote turnover.","Custom","Custom","1","","5/3/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","5/3/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","2-3 hour aerobic","Custom","Custom","2","","5/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","2 runs 1st in am after swim did my drills with jogging in middle and some pick ups 2.25 miles 2nd was off bike ran hard for 2-3min than mild pace for couple min than hard than medium. 2.6 miles Did 8 sprints at end. Then did open water swim!","Custom","Custom","0.75","","5/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","5/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/5/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/6/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","5/6/2016","","15350","57","322","163.028"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.795083889431424","5.36100006103516","","47","","","","","","0.372736128106076","10.96","","","","","","","","","","","46","1","0","0","0","0","","","",""
"Other","","Custom","Custom","","","5/7/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","5/7/2016","","20842","42","345","172.778"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","1.14580919053819","5.11100006103516","","37","","","","","","0.476396251985772","25.89","","","","","","","","","","","62","3","2","1","0","1","","","",""
"Other","","Custom","Custom","","","5/8/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-10min EASY w/u 95±5 rpm -2 x (90sec at FTPw, 3min EASY) -8 x (30sec MAX >XXXw, 3min EASY) -Easy c/d to :55","Custom","Custom","0.916666666666667","","5/9/2016","On spin bike?","","","","","","0.916666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","-400 EASY w/u -3 x 200 w/fins (100 kick on back, 50 catchup, 50 swim) 7 x (5 x 50 come in under :35 and leave on :50) with 1min rest between sets of 5. -100 EASY -400 STEADY swim hold 1:15 -200 EASY w/d","Custom","Custom","1.08333","3154.67993164063","5/9/2016","","3154.67993164063","","",""," *05/09/2016 Jamie Brown: 400 at 4:48 and that hurt*","1.08333","0.808894796599374","","","","","","","","0.301574347959644","2.97","","","","","","","","","","","","","","","","","","","",""
"Run","Hop off bike and go run HARD: -10 x (30sec HARD, 30sec EASY) -5min MOD -5min EASY","Custom","Custom","0.333333333333333","","5/9/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","1 x 400 easy warm-up mix 6 x 50 drill/swim Drill=1 arm on :20 RI 9 x 50 swim on :40 (1st 3 buld, 2nd 3 reverse build, 3rd 3 FAST) 100 EASY 6 x 75 (25 EASY, 25 FAST, 25 EASY) on 1:00 100 EASY 3 x 100 descending on 1:20 1 x 200 easy recovery","Custom","Custom","0.75","2103.1201171875","5/10/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","Custom","Custom","0.666666666666667","","5/10/2016","","","","","","","0.666666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Hop off bike and go run HARD: -10 x (30sec HARD, 30sec EASY) -5min MOD -5min EASY","Custom","Custom","0.333333333333333","","5/10/2016","","","","","","","0.333333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/11/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/12/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Good EASY swim with some pick-ups","Custom","Custom","0.33333","","5/13/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-5 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -5min easy","Custom","Custom","0.5","","5/13/2016","","9917","49","237","98.263"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.536154446072049","5.08300018310547","","34","","","","","","0.41306931113566","8.71","","","","","","","","","","","27","3","2","1","0","0","","","",""
"Run","EASY and end with 4 Pickups","Custom","Custom","0.5","","5/13/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Good EASY swim with some pick-ups","Custom","Custom","0.33333","","5/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","EASY with 4 x 30 sec pickups","Custom","Custom","0.5","","5/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","EASY and end with 4 Pickups","Custom","Custom","0.33333","","5/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
