"WorkoutType","WorkoutDescription","ExerciseDescription","Code","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes"
"Bike","","Custom","Custom","","","5/15/2016","","4343","45","348","26.694"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.164462500678168","7.94399976730347","","27","","","","","","0.522272775284029","4.27","","","","","","","","","","","8","0","1","0","0","0","","","",""
"Bike","","Custom","Custom","","","5/15/2016","","20285","44","278","95.416"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","1.63871717664931","3.44400000572205","","21","","","","","","0.39929795849428","9.47","","","","","","","","","","","91","2","3","1","1","0","","","",""
"Day Off","","Custom","Custom","","","5/16/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","5/16/2016","","20123","52","228","128.028"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.692774997287326","8.05599975585938","","42","","","","","","0.397256110789229","10.84","","","","","","","","","","","34","6","2","0","0","0","","","",""
"Day Off","","Custom","Custom","","","5/17/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/18/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Just get out and ride or stay indoors on Trainer. EASY pace to promote recovery!","Custom","Custom","1","","5/19/2016","","45061.632","","","","","1.43333333333333","8.73287441860465","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","2(10x100) held 1:17 left on 1:25","Custom","Custom","1.16666666666667","4114.7998046875","5/19/2016","","4114.8","","","","","1.16666666666667","0.979714285714286","","","","","","","","0.36525974025974","5.69","","","","","","","","","","","","","","","","","","","",""
"Swim","4x400 build 25 hard 75 easy, 50 hard 50 easy, 75 hard 25 easy,100 hard in on 5:30 leave on 6:00.","Custom","Custom","1.5","","5/20/2016","","3383.28","","","","","1","0.9398","","","","","","","","0.350378787878788","4.3","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","0.75","","5/21/2016","","82076.544","","",""," *05/21/2016 Jamie Brown: Tore me up. I have lost a lot of bike fitness.*","2.75","8.29056","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","2","","5/22/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/22/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","5/23/2016","","7242.048","","",""," *05/24/2016 Jamie Brown: Was very slow and sluggish*","0.75","0.670560000256122","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","5/23/2016","","3383.28","","",""," *05/23/2016 Jamie Brown: Sorry did 9(4x50 on 50 sec)*","1","0.9398","","","","","","","","0.350378787878788","4.3","","","","","","","","","","","","","","","","","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","Custom","Custom","0.666666666666667","","5/24/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","5/24/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","After 10min EASY warm-up, do 5 x sprints (different speeds) at any type of distance (for 20 sec, 1min, stop sign to stop sign, etc.) but make sure you recover before each one. End with a 10min cool down.","Custom","Custom","0.75","","5/25/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","5/25/2016","","1645.92","","",""," *05/25/2016 Jamie Brown: 1000 wu 800 Build no wetsuit*","0.5","0.9144","","","","","","","","0.340909090909091","1.98","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","5/26/2016","","40233.6","","","","","1.3","8.59692307692308","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","","","5/26/2016","","3383.28","","","","","0.833333333333333","1.12776","","","","","","","","0.420454545454545","6.19","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","5/27/2016","","","","",""," *05/27/2016 Jamie Brown: 20x40 sec at 4:50mile pace on 2 min*","0.833333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Wear Wetsuit","Custom","Custom","1.5","","5/27/2016","","40233.6","","","","","1.48333333333333","7.53438202247191","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Endurance","Custom","Custom","1.25","","5/28/2016","","83685.888","","",""," *05/28/2016 Jamie Brown: Felt much stronger*","2.58333333333333","8.99848258064516","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","1.5","","5/29/2016","","16093.44","","",""," *05/29/2016 Jamie Brown: Avg HR was 158 the last 30 min I basically 1min walk 1 min jog 1min run hard repeat for 30 min just to run hard when tired.*","1.5","2.98026666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/29/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","","Custom","Custom","1","","5/30/2016","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1.16666666666667","","5/30/2016","","3840.48","","",""," *05/30/2016 Jamie Brown: Did 8(5x50) on 50*","1.16666666666667","0.9144","","","","","","","","0.340909090909091","4.62","","","","","","","","","","","","","","","","","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","Custom","Custom","0.666666666666667","40233.6015625","5/31/2016","","40233.6","","",""," *05/31/2016 Jamie Brown: Ran 2 miles off bike 1st 6:48, 6:12. Road really hard today*","1.25","8.9408","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Used wet suit for 1st 2000","Custom","Custom","1","","5/31/2016","","3291.84","","",""," *05/31/2016 Jamie Brown: Did 5x400 on 6 min in wetsuit descending 1st was 5:04 easy warm up 4:54 hard 100 4:46 hard 200 4:39 hard 300 4:31 hard 400  Then did pull 4x200 on 2:30  Easy 300 Tried to do a kick set after and legs just started cramping after 75 yards. So I called it!*","1","0.9144","","","","","","","","0.340909090909091","3.96","","","","","","","","","","","","","","","","","","","",""
"Run","After 10min EASY warm-up, do 5 x sprints (different speeds) at any type of distance (for 20 sec, 1min, stop sign to stop sign, etc.) but make sure you recover before each one. End with a 10min cool down.","Custom","Custom","0.75","","6/1/2016","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","","Custom","Custom","0.75","","6/1/2016","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","6/1/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","1.25","","6/1/2016","","37014.912","","","","","1.25","8.225536","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-5min EASY w/u 95±5 rpm -5 x 30sec one legged @70rpm (each) -5 x 30 pickups, 30 sec EASY -3 x (15min at zone 3, XXXw, 5min EASY)","Custom","Custom","1.25","0","6/2/2016","","62764.416","","","","","1.83333333333333","9.50976","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","6/2/2016","","2286","","","","","1","0.635","","","","","","","","0.236742424242424","1.33","","","","","","","","","","","","","","","","","","","",""
"Bike","Wear Wetsuit","Custom","Custom","1.5","","6/3/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","6/3/2016","","","","",""," *06/03/2016 Jamie Brown: 10 min easy with drills 20x200-220 on 2 min ran for 40 sec at 12.1-12.5 built up every 5 also did 1st 5 at zero incline increased each 5 by .5.*","0.916666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","6/3/2016","","3657.6","","",""," *06/03/2016 Jamie Brown: Main set  5x200 with shorts 2:26 leave on 2:40 moderate pace. Then hopped around pool 4x209 in suit 2:33 left on 3 min then hopped around pool.  6x150 kick 100 on back 50 swim*","1.16666666666667","0.870857142857143","","","","","","","","0.324675324675325","3.99","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","1.5","","6/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","","Custom","Custom","0.75","","6/4/2016","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Endurance + Interval work with group","Custom","Custom","2","","6/5/2016","","57936.384","","","","","2","8.04672","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.216666666666667","","6/5/2016","","3218.688","","","","","0.216666666666667","4.12652307692308","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/5/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","6/6/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","6/6/2016","","","","",""," *06/06/2016 Jamie Brown: Off bike. We are having a major storm today. No swimming*","0.416666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","6/6/2016","","5","79","149","265.421"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.938632202148437","0.0829999968409538","","76","","","","","","0.438317554360603","17.86","","","","","","","","","","","53","3","0","0","0","0","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","Custom","Custom","0.666666666666667","","6/7/2016","","","","","","","0.666666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","6/7/2016","","0","69","253","162.349"," *06/09/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.65408942328559","0.0829999968409538","","55","","","","","","0.461671493222129","13.83","","","","","","","","","","","32","3","2","2","0","0","","","",""
"Swim","","Custom","Custom","1","","6/7/2016","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","After 10min EASY warm-up, do 5 x sprints (different speeds) at any type of distance (for 20 sec, 1min, stop sign to stop sign, etc.) but make sure you recover before each one. End with a 10min cool down.","Custom","Custom","0.75","","6/8/2016","","6598.3104","","",""," *06/08/2016 Jamie Brown: Road spin bike for 34min Then did run. ran a easy mile and swam for 15 min to cool down.*","0.414166666666667","4.42542615694165","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1.5","","6/8/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","6/8/2016","","","","","","","0.583333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-5min EASY w/u 95±5 rpm -5 x 30sec one legged @70rpm (each) -5 x 30 pickups, 30 sec EASY -3 x (15min at zone 3, XXXw, 5min EASY)","Custom","Custom","1.25","0","6/9/2016","","6","66","207","285.259"," *06/09/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com* *06/10/2016 Jamie Brown: Left sensor was only being picked up.HR avg for 15 min intervals avg 148 for each. Cadance was 92*","1.20168145073785","0.0829999968409538","","51","","","","","","0.418592471923305","20.91","","","","","","","","","","","52","17","2","0","0","0","","","",""
"Swim","","Custom","Custom","","","6/9/2016","","3657.6","","","","","1","1.016","","","","","","","","0.378787878787879","5.43","","","","","","","","","","","","","","","","","","","",""
"Bike","Wear Wetsuit","Custom","Custom","1.5","","6/10/2016","","","","",""," *06/10/2016 Jamie Brown: Did 30 min spin before run.*","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","6/10/2016","","","","",""," *06/10/2016 Jamie Brown: Each set of 5 I increased incline last set 4.0 incline*","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Masters","Custom","Custom","1.5","","6/10/2016","","","","",""," *06/10/2016 Jamie Brown: Did weights for 1 hour after*","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Endurance + Interval work with group","Custom","Custom","2.5","","6/11/2016","","","","","","","1.36666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","1.5","","6/12/2016","","28968.192","","",""," *06/13/2016 Jamie Brown: Did easy high cadance 10 min 4x4min hard with 4 min recovery. Did let ride with group. Rode later like 4pm and was hot as fuck. Did a run off bike went good pace 1st mile and half 6:30. Then tried to get HR to stay around 135 which is walking when it's that hot.*","1","8.04672","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/12/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Did 30 100x's broke them up in 5's alternated with board shorts. And speedo! 1500 with drag and 1500 without. Held around 1:15 and 1:25 pace. Used bouey and paddles","Custom","Custom","","","6/12/2016","","2926.08","","","","","0.866666666666667","0.937846153846154","","","","","","","","0.34965034965035","3.7","","","","","","","","","","","","","","","","","","","",""
"Bike","-10min EASY w/u 95±5 rpm -2 x (90sec at FTPw, 3min EASY) -8 x (30sec >XXXw, 3min EASY) -Easy c/d to :55","Custom","Custom","0.916666666666667","","6/13/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","6/13/2016","","","","",""," *06/13/2016 Jamie Brown: Did wetsuit  Warmup 100 easy 500 mod/hard race simulation 100 easy 2x400 on 5 min came in 4:45 50 easy/mod 50 hard 2x200 on 3 min came in 2:09 hard did a transition hop with wetsuit take off. Then did kicking and easy swimming for approx 1000*","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","1 x 400 easy warm-up mix 6 x 50 drill/swim Drill=1 arm on :20 RI 9 x 50 swim on :40 (1st 3 buld, 2nd 3 reverse build, 3rd 3 FAST) 100 EASY 6 x 75 (25 EASY, 25 FAST, 25 EASY) on 1:00 100 EASY 3 x 100 descending on 1:20 1 x 200 easy recovery","Custom","Custom","0.75","2103.1201171875","6/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","Custom","Custom","1","","6/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Hop off bike and go run HARD: -10 x (30sec HARD, 30sec EASY) -5min MOD -5min EASY","Custom","Custom","0.333333333333333","","6/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/15/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-5 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -5min easy","Custom","Custom","0.5","","6/16/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","EASY and end with 4 Pickups","Custom","Custom","0.33333","","6/16/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Good EASY swim with some pick-ups","Custom","Custom","0.33333","","6/17/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-5 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -5min easy","Custom","Custom","0.5","","6/17/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","EASY and end with 4 Pickups","Custom","Custom","0.5","","6/17/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Good EASY swim with some pick-ups","Custom","Custom","0.33333","","6/18/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","EASY with 4 x 30 sec pickups","Custom","Custom","0.5","","6/18/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","EASY and end with 4 Pickups","Custom","Custom","0.33333","","6/18/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","6/19/2016","","43","87","164","271.496"," *07/10/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.868616943359375","0.277999997138977","","84","","","","","","0.453478225952009","17.82","","","","","","","","","","","49","4","0","0","0","0","","","",""
"Bike","","Custom","Custom","","","6/19/2016","","18728","140","316","253.796"," *07/10/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.505037773980035","10.7779998779297","","72","","","","","","0.777668785041325","30.06","","","","","","","","","","","9","5","6","6","2","1","","","",""
"Other","","Custom","Custom","","","6/20/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","1.25","","6/21/2016","","38624.256","","",""," *06/21/2016 Jamie Brown: Easy recovery*","1.21666666666667","8.81832328767123","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Day Off","","Custom","Custom","","","6/21/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/21/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","","Custom","Custom","0.75","","6/22/2016","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Nothing HARD and nothing too long. You may do 1 or 2 a days, though. Let your mind and body recover.","Custom","Custom","0.9","","6/22/2016","","3657.6","","","","","0.9","1.12888888888889","","","","","","","","0.420875420875421","6.71","","","","","","","","","","","","","","","","","","","",""
"Other","Nothing HARD and nothing too long. You may do 1 or 2 a days, though. Let your mind and body recover.","Custom","Custom","","","6/23/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/24/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/25/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/26/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/26/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/27/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","6/28/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","Nothing HARD and nothing too long. You may do 1 or 2 a days, though. Let your mind and body recover.","Custom","Custom","","","6/29/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","Nothing HARD and nothing too long. You may do 1 or 2 a days, though. Let your mind and body recover.","Custom","Custom","","","6/30/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
